name,phone,address,detail_url,lat,lng
허그맘·허그인 강남본점 (직영점),02-568-6255,서울 강남구 논현동 56-10인의빌딩 3층,https://www.hugmom.co.kr/gangnam,37.5130334046003,127.025933017743
허그맘·허그인 강동센터 (직영점),02-482-0000,서울 강동구 올림픽로 572  하늘채 아파트 상가 2차 2층서울 강동구 성내동 595  하늘채 아파트 상가 2차 2층,https://www.hugmom.co.kr/gangdong,37.5325527506318,127.121818623477
허그맘·허그인 강서센터,02-2088-3515,서울 강서구 공항대로 247 퀸즈파크나인 C동 9층서울특별시 강서구 마곡동 797-1 퀸즈파크나인 C동 9층,https://www.hugmom.co.kr/gangseo,37.5593135416408,126.83523920295
허그맘·허그인 강원춘천센터,033-264-0009,강원 춘천시 석사동 904-14층 허그맘허그인 강원춘천점,https://www.hugmom.co.kr/chuncheon,,
허그맘·허그인 경기광주센터,031-8068-8275,"경기 광주시 중앙로 69-6 (역동, 더대광빌딩 2층)",https://www.hugmom.co.kr/gyeonggigwangju,37.4062029244208,127.260678214125
허그맘·허그인 고양덕양센터,031-365-3366,경기 고양시 덕양구 원흥동 633-7 골든메디타워 2층경기도 고양시 덕양구 원흥3로 6-17,https://www.hugmom.co.kr/deokyangsamsong,37.6477374954922,126.87590479386
허그맘·허그인 과천센터,02-6956-7153,"경기 과천시 별양로 28 (원문동, 래미안 슈르)상가동 3011B호~3014호 (슈르상가 A동3층)",https://www.hugmom.co.kr/gwacheon,,
허그맘·허그인 관악센터,02-877-3007,서울 관악구 은천로 153 (봉천동)2층,https://www.hugmom.co.kr/gwanak,37.4864510631326,126.952468877982
허그맘·허그인 광주광산수완센터,062-714-3450,광주 광산구 임방울대로 348 남궁빌딩 6층광주 광산구 수완동 1080 남궁빌딩 6층,https://www.hugmom.co.kr/gwangjusuwan,35.1910764947097,126.824381199043
허그맘·허그인 광주무등센터,062-654-7799,"광주 남구 봉선중앙로 139 (주월동, 한일메디컬센터) 5층광주광역시 남구 주월동 1253-2, 5층",https://www.hugmom.co.kr/gwangjumudeung,35.1335590297087,126.910351156336
허그맘·허그인 광주북구센터,062-529-5653,광주 북구 서강로54번길 28 (운암동) 2층광주광역시 북구 운암동 366-3 2층,https://www.hugmom.co.kr/gwangjubukgu,35.1759343223137,126.874011951123
허그맘·허그인 광주상무센터,062-373-6255,광주 서구 상무중앙로 24 엠씨타워 5층광주 서구 치평동 1254-1 엠씨타워 5층,https://www.hugmom.co.kr/gwangjusangmu,35.1489150509579,126.848893211784
허그맘·허그인 구리갈매센터,031-8079-8275,"경기 구리시 경춘북로 252 (갈매동, 갈매역아이파크)애비뉴상가 A205호",https://www.hugmom.co.kr/guri,37.6338125904837,127.118322701737
허그맘·허그인 김포센터,031-994-6255,"경기 김포시 김포대로 841 (사우동, 제우스프라자) 306호경기 김포시 사우동 924 (제우스프라자 306호)",https://www.hugmom.co.kr/kimpo,37.6195366568818,126.720028733022
허그맘·허그인 노원센터,02-930-0744,서울 노원구 노해로 521 정일빌딩 6층서울 노원구 상계동 718 정일빌딩 6층,https://www.hugmom.co.kr/nowon,37.6557642665279,127.065908262314
허그맘·허그인 대구달서센터,053-625-6662,대구 달서구 상원로 100  아림빌딩 7층대구 달서구 상인동 162  아림빌딩 7층,https://www.hugmom.co.kr/daegudalseo,35.817848354513,128.532484891261
허그맘·허그인 대전둔산센터,042-719-8088,대전 서구 둔산로 76 시티크리닉 5층대전 서구 둔산동 1179 시티크리닉 5층,https://www.hugmom.co.kr/daejeondunsan,36.3510295052366,127.382249781499
허그맘·허그인 동대문구센터,02-3390-3080,"서울 동대문구 답십리로 264 2층 (장안동, 성신빌딩)",https://www.hugmom.co.kr/dongdaemun,37.5722815601428,127.069508490646
허그맘·허그인 동두천센터,031-928-5575,"경기 동두천시 중앙로 165 (생연동, 은혜빌딩) 5층경기도 동두천시 생연동 714-12 5층",https://www.hugmom.co.kr/dongducheon,37.8962863316634,127.052105701216
허그맘·허그인 동탄센터,031-378-3866,경기 화성시 동탄대로 537 (오산동) 라스플로레스 412호,https://www.hugmom.co.kr/dongtan,37.2022219858232,127.097923632495
허그맘·허그인 마포센터,02-2138-6255,서울 마포구 백범로 130 (염리동) 뉴한일빌딩 4층서울 마포구 염리동 156-1 뉴한일빌딩 4층,https://www.hugmom.co.kr/mapo,,
허그맘·허그인 목동센터 (직영점),02-6092-6600,서울 양천구 오목로 340 협성빌딩 A동 3층서울 양천구 목동 405-268 협성빌딩 A동 3층,https://www.hugmom.co.kr/mokdong,37.5242678117486,126.875112047588
허그맘·허그인 목포센터,061-803-9222,전남 목포시 후광대로 110 디 타워 3층전남 목포시 옥암동 1225-1 법원프라자 3층,https://www.hugmom.co.kr/mokpo,34.8108811599399,126.445028922102
허그맘·허그인 부산연제센터,051-866-0770,부산 연제구 중앙대로 1090 프라임시티 6층부산 연제구 연산동 702-1 프라임시티 6층,https://www.hugmom.co.kr/busanyeonje,35.1847984835674,129.081062211449
허그맘·허그인 부산해운대센터,051-703-4375 (대표),"부산 해운대구 센텀남대로 50, 3층 (우동, 센텀임페리얼타워 3층)",https://www.hugmom.co.kr/busanhaeundae,35.1681088924289,129.131301362683
허그맘·허그인 부천상동센터,032-713-9119,경기 부천시 길주로 71 리파인빌 213호경기 부천시 상동 531-7 리파인빌,https://www.hugmom.co.kr/bucheonsangdong,37.506375390554,126.75051640666
허그맘·허그인 분당센터,031-714-1270,"경기 성남시 분당구 성남대로331번길 3-9 (정자동, 백궁프라자3 5층 507호)경기 성남시 분당구 성남대로 331번길 3-9 백궁프라자3 5층 507호",https://www.hugmom.co.kr/bundang,37.3648461371195,127.107694692996
허그맘·허그인 산본센터,031-360-7975,"경기 군포시 산본로 329, 9층 (산본동, 경원빌딩)경기도 군포시 산본동 1126, 9층 (경원빌딩)",https://www.hugmom.co.kr/sanbon,37.3600206052502,126.933089703696
허그맘·허그인 성북센터,02-6956-0204,"서울 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티) 401호",https://www.hugmom.co.kr/seongbuk01,37.6050371568783,127.030928150119
허그맘·허그인 세종센터,044-417-6255,"세종특별자치시 한누리대로 169 (나성동, 세종행복타워) 403호세종특별자치시 나성동 720 세종행복타워",https://www.hugmom.co.kr/sejong,36.4802362669873,127.261813684858
허그맘·허그인 송파잠실문정센터,02-6952-0051,"서울 송파구 송파대로 201 (문정동, 송파 테라타워2)서울특별시 송파구 송파대로 201 송파테라타워2 A동 221호",https://www.hugmom.co.kr/songpamunjeong,,
허그맘·허그인 수원센터,031-204-4275,"경기 수원시 영통구 덕영대로 1470 (망포동, 망포역 플래티넘베이스)5층 506-507호 허그맘허그인 수원영통점",https://www.hugmom.co.kr/suwon,37.245061076317,127.051036910265
허그맘·허그인 시흥센터,031-498-6255,"경기 시흥시 서울대학로278번길 61, 서영 베니스스퀘어 C동 4층 432-1호경기 시흥시 정왕동 2537-2, 서영 베니스스퀘어 C동 4층 432-1호",https://www.hugmom.co.kr/siheung,37.3681855990292,126.73067100839
허그맘·허그인 신도림센터,02-6956-7915,"서울 구로구 경인로 590 (신도림동, 아주빌딩 2층)서울특별시 구로구 신도림동 413-49 (아주빌딩 2층)",https://www.hugmom.co.kr/guro,37.5044180641883,126.8823855398
허그맘·허그인 아산센터,041-424-6255,"충남 아산시 배방읍 장재리 1776, N타워 3층 303호",https://www.hugmom.co.kr/asan,36.791843925083,127.107282341059
허그맘·허그인 안산센터 (직영점),031-8042-5512,경기 안산시 단원구 고잔로 88 지스타 빌딩 9층 906호경기 안산시 단원구 고잔동 534-2 9층 906호,https://www.hugmom.co.kr/ansan,,
허그맘·허그인 여수센터,061-686-3055,전남 여수시 도원로 190 (안산동) 3층(여천새마을금고 건물 3층),https://www.hugmom.co.kr/yeosu,34.7607074981434,127.652034454015
허그맘·허그인 여의도센터,02-2135-7542,서울 영등포구 여의대방로 376 (여의도동) 나라키움 여의도빌딩 305호~307호서울 영등포구 여의도동 55-2 나라키움 여의도빌딩 305호~307호,https://www.hugmom.co.kr/yeouido,37.5181886056247,126.931354574177
허그맘·허그인 오산센터,031-8068-6255,경기 오산시 청학로 230 (수청동) 재이클래스 202호,https://www.hugmom.co.kr/osan,37.1692718033144,127.062000379895
허그맘·허그인 용인수지센터,031-548-2855,경기 용인시 수지구 문정로7번길 14 삼공타워 3층경기 용인시 수지구 풍덕천동 1082-11 삼공타워 3층,https://www.hugmom.co.kr/yonginsuji,,
허그맘·허그인 울산센터,052-267-4759,울산 남구 삼산로278번길 8 LJ타워 4층 402호울산 남구 삼산동 1478-5 LJ타워 4층 402호,https://www.hugmom.co.kr/ulsan,,
허그맘·허그인 의정부센터,031-928-5846,경기 의정부시 민락동 805-2(성산타워 9층)경기 의정부시 오목로225번길 140,https://www.hugmom.co.kr/uijeongbu01,37.7450692652034,127.094885325308
허그맘·허그인 익산센터,063-851-7735,전북 익산시 선화로1길 16 (모현동1가) 2층 201호2층 201호,https://www.hugmom.co.kr/iksan,35.9511873169766,126.938413236747
허그맘·허그인 인천서구센터,032-563-2070,"인천 서구 염곡로 468 (가정동, 드림타워) 3층인천광역시 서구 가정동 619-4 3층",https://www.hugmom.co.kr/incheonseogu,37.5264513444249,126.669728853251
허그맘·허그인 인천송도센터,032-710-6517,"인천 연수구 하모니로138번길 11 (송도동, 송도캐슬센트럴파크101동, 4층)인천광역시 연수구 송도동 8-20 (송도캐슬센트럴파크 101동, 4층)",https://www.hugmom.co.kr/incheonsongdo,37.3849625996123,126.642800057546
허그맘·허그인 일산센터,031-911-3301,경기 고양시 일산서구 일산로 774 리더스프라자II 601호경기 고양시 일산서구 대화동 2223-2 리더스프라자II 601호,https://www.hugmom.co.kr/ilsan,37.6748844051999,126.748564013343
허그맘·허그인 전주센터,063-223-0075,전북 전주시 완산구 홍산로 238 메트로빌딩 7층전북 전주시 완산구 효자동2가 1154-3 메트로빌딩 7층,https://www.hugmom.co.kr/jeonju,35.814858006075,127.106474009294
허그맘·허그인 창원센터,055-289-7255,경남 창원시 성산구 단정로 9 토토스빌딩 4층경남 창원시 성산구 상남동 23-7 토토스빌딩4층,https://www.hugmom.co.kr/changwon,35.2208589668596,128.682006979877
허그맘·허그인 천안센터,041-551-6256,충남 천안시 서북구 두정로 187 시온빌딩 4층충남 천안시 서북구 두정동 945 시온빌딩 4층,https://www.hugmom.co.kr/cheonan,36.8340365867602,127.137744188107
허그맘·허그인 청주센터,043-236-1275,충북 청주시 서원구 복대로 19 매직타워 501호충북 청주시 서원구 개신동 696 매직타워 501호,https://www.hugmom.co.kr/cheongju,36.6189949621648,127.445547127601
허그맘·허그인 파주센터,031-935-5795,"경기 파주시 목동동 935-2 (월드타워5차, 8층)경기 파주시 청암로17번길 21(월드타워5차, 8층)",https://www.hugmom.co.kr/paju,37.7295141729326,126.735107464395
허그맘·허그인 평택센터,031-994-5922,경기 평택시 비전5로 20-38 에이치탑5 빌딩 602호경기 평택시 비전동 1102 에이치탑5빌딩 602호,https://www.hugmom.co.kr/pyeongtaek,36.9996513685944,127.115670235668
허그맘·허그인 포항센터,054-232-9660,"경북 포항시 북구 양덕남로 73 (양덕동, 하주빌딩) 3층경북 포항시 북구 양덕동 1649-4 하주빌딩 3층",https://www.hugmom.co.kr/pohang,36.0787019922735,129.400312444861
허그맘·허그인 하남센터,031-8042-6255,경기 하남시 미사강변중앙로 220 우성미사타워 9층경기 하남시 망월동 1079-1 우성미사타워 9층,https://www.hugmom.co.kr/hanam,37.5662871417766,127.189231111369
